NOME_EMPRESARIAL;INICIO_ATIVIDADE;DATA_EXPIRACAO;BAIRRO
135 GRAUS INCORPORACAO E EMPREENDIMENTOS IMOBILIAR;25/07/1996;;CAJURU
14 BIS BAR E PETISCARIA LTDA;01/07/1998;;CENTRO
14 NOVE REBOQUES E GUINCHOS LTDA;20/10/2015;;CIDADE INDUSTRIAL
14 ZERO 9 MARKETING E COMUNICACAO LTDA;10/08/2009;;ABRANCHES
144 COMUNICACAO LTDA - ME;14/09/2012;;SAO FRANCISCO
147 CAR PARK ESTACIONAMENTO LTDA - ME;25/11/2002;30/04/2009;BIGORRILHO
14Z LOCADORA DE VEICULOS LTDA.;02/05/2019;;BOA VISTA
150ML REPRESENTACÕES COMERCIAIS LTDA.;20/06/2006;;BOQUEIRAO
153BBA PUBLICIDADE PROPAGANDA E MARKETING LTDA - M;14/05/2015;;MERCES
156 DIGITAL LTDA - ME;04/11/2014;;BACACHERI
16 CANAIS PRODUCOES CULTURAIS LTDA;01/02/2013;;GUAIRA
16 GRAUS COMERCIO E MANUTENCAO DE AR CONDICIONADO ;29/10/2013;;BOQUEIRAO
16 IGREJA BATISTA EM CURITIBA;18/10/1979;;NOVO MUNDO
16 POR 9 PRODUTORA DE VIDEO LTDA;01/09/2001;31/12/2002;BIGORRILHO
17TH LYS DILIGITIS CONSULTORIA DE IMAGEM E ESTILO ;29/09/2019;;SITIO CERCADO
18 DE MAIO TRANSPORTES LTDA - ME;18/08/1996;;XAXIM
18 GIGAS COMERCIO DE EQUIPAMENTOS EIRELI - ME;24/04/2014;;CABRAL
1859 SERVICOS FINANCEIROS LTDA;01/03/2018;;BATEL
18KARAT JOIAS LTDA - EPP;10/07/2012;;CENTRO
1927 POS - PRODUCAO DE AUDIO LTDA - ME;01/05/2002;;ALTO DA RUA XV
195 PASTELARIA E LANCHONETE LTDA;01/02/1997;;CENTRO
1A1 CRIPTO INTERMEDIACAO E CONSULTORIA DE CRIPTOMO;22/08/2018;;CABRAL
1NEX DESENVOLVIMENTO DE SOFTWARES LTDA;17/07/2012;;PORTAO
1ONE CONSULTORIA E PARTICIPACOES SOCIETARIAS EIREL;04/06/2014;;CENTRO
1SOBRE2 DESIGN LTDA - ME;19/02/2014;;BATEL
1T2F3R PARTICIPACOES SOCIETARIAS S/A;05/10/2018;;GUABIROTUBA
2 A P CONSULTORIA EM RECURSOS HUMANOS E QUALIDADE ;02/01/2001;31/12/2008;BACACHERI
2 A REPRESENTACÕES COMERCIAIS LTDA;26/05/2006;;CAPAO RASO
2 D DIGITAL MANUTENCAO DE EQUIPAMENTOS DE INFORMAT;09/06/2008;;XAXIM
2 E SOLUCOES LTDA ME;17/09/2009;;NOVO MUNDO
2 FAST PROPAGANDA E MARKETING LTDA;02/05/2007;;BIGORRILHO
