NOME_EMPRESARIAL;INICIO_ATIVIDADE;NUMERO_DO_ALVARA;NOME_DA_EMPRESA;DATA_EMISSAO;DATA_EXPIRACAO;ATIVIDADE_PRINCIPAL;ATIVIDADE_SECUNDARIA1;ATIVIDADE_SECUNDARIA2;ENDERECO;NUMERO;UNIDADE;ANDAR;COMPLEMENTO;BAIRRO;CEP
14 ZERO 9 MARKETING E COMUNICACAO LTDA;10/08/2009;1057524;14 ZERO 9 MARKETING & COMUNICACAO;01/03/2012;***;AGÊNCIAS DE PUBLICIDADE;***;***;R. RUY ARZUA PEREIRA;109;***;***;***;ABRANCHES;82130190
144 COMUNICACAO LTDA - ME;14/09/2012;1229851;144 COMUNICACAO LTDA - ME;01/07/2015;***;PROMOÇÃO DE VENDAS;DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENC;EDIÇÃO DE JORNAIS NÃO DIÁRIOS;R. ALBINO SILVA;54;4;***;***;SÃO FRANCISCO;80520210
147 CAR PARK ESTACIONAMENTO LTDA - ME;25/11/2002;816827;PARKING CAR & CIA;25/08/2008;30/04/2009;ESTACIONAMENTO DE VEÍCULOS;SERVIÇOS DE LAVAGEM, LUBRIFICAÇÃO E POLIMENTO DE V;***;R. MARECHAL JOSÉ BERNARDINO BORMANN;1580;***;***;***;BIGORRILHO;80710500
14Z LOCADORA DE VEICULOS LTDA.;02/05/2019;1429515;14Z LOCADORA DE VEICULOS LTDA.;02/05/2019;***;LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PE;***;R. LODOVICO GERONAZZO;665;***;***;***;BOA VISTA;82560040
150ML REPRESENTAÇÕES COMERCIAIS LTDA.;20/06/2006;907707;150ML REPRESENTAÇÕES;10/12/2009;***;OUTROS REPRESENTANTES COMERCIAIS E AGENTES DO COMÉ;***;***;R. PROFESSOR JOSÉ MAURÍCIO HIGGINS;1802;3;***;TÉRREO;BOQUEIRÃO;81670410
153BBA PUBLICIDADE PROPAGANDA E MARKETING LTDA - M;14/05/2015;1230954;153BBA PUBLICIDADE PROPAGANDA E MARKETING;09/07/2015;***;AGÊNCIAS DE PUBLICIDADE;CONSULTORIA EM PUBLICIDADE;MARKETING DIRETO;AL. PRUDENTE DE MORAES;388;***;***;***;MERCÊS;80430234
156 DIGITAL LTDA - ME;04/11/2014;1415446;156 DIGITAL LTDA;15/02/2019;***;SUPORTE TÉCNICO, MANUTENÇÃO E OUTROS SERVIÇOS EM T;DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENC;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;R. HOLANDA;29;***;***;***;BACACHERI;82510190
16 CANAIS PRODUCOES CULTURAIS LTDA;01/02/2013;1122162;16 CANAIS PRODUCOES CULTURAIS LTDA;05/03/2013;***;SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXP;PRODUÇÃO, ORGANIZAÇÃO E PROMOÇÃO DE ESPETÁCULOS AR;ARTES CÊNICAS, ESPETÁCULOS E ATIVIDADES COMPLEMENT;AV. DA REPÚBLICA;5911;***;***;***;GUAÍRA;80630060
16 GRAUS COMERCIO E MANUTENCAO DE AR CONDICIONADO ;29/10/2013;1204961;16 GRAUS;03/12/2014;***;COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA;SERVIÇOS DE INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE;***;R. DIOGO MUGIATTI;1555;***;***;***;BOQUEIRÃO;81730360
16 IGREJA BATISTA EM CURITIBA;18/10/1979;1160986;IGREJA BATISTA NOVA JERUSALEM;11/12/2013;***;ATIVIDADES DE ORGANIZAÇÕES RELIGIOSAS E FILOSÓFICA;***;***;R. DOUTOR DURVAL PINTO CORDEIRO;542;***;***;***;NOVO MUNDO;82315210
16 POR 9 PRODUTORA DE VIDEO LTDA;01/09/2001;541612;16 POR 9 PRODUTORA DE VIDEO LTDA;16/10/2001;31/12/2002;AGÊNCIAS DE PUBLICIDADE;***;***;AL. AUGUSTO STELLFELD;1175;***;***;TR;BIGORRILHO;80430140
17TH LYS DILIGITIS CONSULTORIA DE IMAGEM E ESTILO ;29/09/2019;1458368;17th Lys Diligitis;30/09/2019;***;TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERE;OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTE;TREINAMENTO EM INFORMÁTICA;R. ANTONIO BOZA;344;***;***;***;SÍTIO CERCADO;81925050
18 DE MAIO TRANSPORTES LTDA - ME;18/08/1996;1197976;TRES PONTOS;21/10/2014;***;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB;RESTAURAÇÃO E CONSERVAÇÃO DE LUGARES E PRÉDIOS HIS;***;R. CLARA TEDESCO;3321;***;***;***;XAXIM;81720110
18 GIGAS COMERCIO DE EQUIPAMENTOS EIRELI - ME;24/04/2014;1320983;18 GIGAS INFORMATICA E PAPELARIA - EIRELI - ME;21/06/2017;***;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;ATIVIDADES DE DESIGN NÃO ESPECIFICADAS ANTERIORMEN;DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENC;R. NICARÁGUA;40;***;***;***;CABRAL;82510170
1859 SERVICOS FINANCEIROS LTDA;01/03/2018;1362906;1859 SERVICOS FINANCEIROS LTDA;26/03/2018;***;CORRESPONDENTES DE INSTITUIÇÕES FINANCEIRAS;***;***;R. FRANCISCO ROCHA;198;***;***;***;BATEL;80420130
18KARAT JOIAS LTDA - EPP;10/07/2012;1286198;EDUARDO DIAS GENTIL - JOALHEIROS;26/09/2016;***;COMÉRCIO VAREJISTA DE ARTIGOS DE JOALHERIA;COMÉRCIO VAREJISTA DE ARTIGOS DE RELOJOARIA;***;AV. MARECHAL FLORIANO PEIXOTO;50;301;***;***;CENTRO;80020090
1927 POS - PRODUCAO DE AUDIO LTDA - ME;01/05/2002;918820;DNART MULTIMIDIA LTDA;05/01/2010;***;ATIVIDADES DE GRAVAÇÃO DE SOM E DE EDIÇÃO DE MÚSIC;SERVIÇOS DE MIXAGEM SONORA EM PRODUÇÃO AUDIOVISUAL;***;R. CORONEL ASSUMPÇÃO;216;***;***;***;ALTO DA RUA XV;80040210
195 PASTELARIA E LANCHONETE LTDA;01/02/1997;435509;195 PASTELARIA E LANCHONETE LTDA;02/01/1998;***;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;***;***;R. JOÃO NEGRÃO;191;***;***;TR;CENTRO;80010200
1A1 CRIPTO INTERMEDIACAO E CONSULTORIA DE CRIPTOMO;22/08/2018;1402650;1A1 CRIPTO;28/11/2018;***;ATIVIDADES DE INTERMEDIAÇÃO E AGENCIAMENTO DE SERV;CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO;***;AV. ANITA GARIBALDI;850;213;1;***;CABRAL;80540400
1NEX DESENVOLVIMENTO DE SOFTWARES LTDA;17/07/2012;1377351;1NEX TECHNOLOGIES;04/07/2018;***;DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE CO;***;***;R. JOAO BETTEGA;854;***;***;***;PORTÃO;81070000
1ONE CONSULTORIA E PARTICIPACOES SOCIETARIAS EIREL;04/06/2014;1453471;1ONE CONSULTORIA EMPRESARIAL;03/09/2019;***;SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINIST;SERVIÇOS DE PERÍCIA TÉCNICA RELACIONADOS À SEGURAN;ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, E;R. BENJAMIN CONSTANT;67;1104;10;***;CENTRO;80060020
1SOBRE2 DESIGN LTDA - ME;19/02/2014;1170429;1SOBRE2 DESIGN LTDA - ME;07/03/2014;***;DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENC;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉC;***;AV. SETE DE SETEMBRO;4884;602;6;***;BATEL;80240000
1T2F3R PARTICIPACOES SOCIETARIAS S/A;05/10/2018;1414920;2F3R PARTICIPACOES SOCIETARIAS S/A;13/02/2019;***;OUTRAS SOCIEDADES DE PARTICIPAÇÃO, EXCETO HOLDINGS;***;***;AV. SENADOR SALGADO FILHO;1477;***;***;***;GUABIROTUBA;81510000
2 A P CONSULTORIA EM RECURSOS HUMANOS E QUALIDADE ;02/01/2001;730350;2 A P CONSULTORIA EM RECURSOS HUMANOS E QUALIDADE;15/12/2006;31/12/2008;FORNECIMENTO E GESTÃO DE RECURSOS HUMANOS PARA TER;***;***;R. MÉXICO;464;1;***;TR;BACACHERI;82510060
2 A REPRESENTAÇÕES COMERCIAIS LTDA;26/05/2006;1347607;2 A REPRESENTAÇÕES;19/12/2017;***;REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE;***;***;R. DANTE LUIZ JÚNIOR;374;***;***;***;CAPÃO RASO;81020720
2 D DIGITAL MANUTENCAO DE EQUIPAMENTOS DE INFORMAT;09/06/2008;1173252;2 D DIGITAL;28/03/2014;***;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;REPARAÇÃO E MANUTENÇÃO DE COMPUTADORES E DE EQUIPA;***;R. WALDEMAR LOUREIRO CAMPOS;3751;311;***;***;XAXIM;81720180
2 E SOLUCOES LTDA ME;17/09/2009;1067811;***;23/05/2012;***;AGENCIAMENTO DE ESPAÇOS PARA PUBLICIDADE, EXCETO E;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;REPARAÇÃO E MANUTENÇÃO DE COMPUTADORES E DE EQUIPA;R. MAJOR VICENTE DE CASTRO;2908;7;***;***;NOVO MUNDO;81030020
2 FAST PROPAGANDA E MARKETING LTDA;02/05/2007;763246;***;23/05/2007;***;AGÊNCIAS DE PUBLICIDADE;***;***;R. PADRE ANCHIETA;2690;9;TR;***;BIGORRILHO;80730000
