NOME_EMPRESARIAL;INICIO_ATIVIDADE;NUMERO_DO_ALVARA;NOME_DA_EMPRESA;DATA_EMISSAO;DATA_EXPIRACAO;ATIVIDADE_PRINCIPAL;ATIVIDADE_SECUNDARIA1;ATIVIDADE_SECUNDARIA2;ENDERECO;NUMERO;UNIDADE;ANDAR;COMPLEMENTO;BAIRRO;CEP
1 CAMARA DE ARBITRAGEM, MEDIACAO E CONCILIACAO SOC;21/07/2016;1282169;CAMABRA;26/08/2016;31/12/2017;ATIVIDADES AUXILIARES DA JUSTIÇA;PRODUÇÃO, ORGANIZAÇÃO E PROMOÇÃO DE ESPETÁCULOS AR;OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTE;AV. PARANÁ;1505;1;SL;***;BOA VISTA;82510000
1 M COMERCIO DE ROUPAS E ARTIGOS DE COURO LTDA;22/04/1998;443574;1 M COMERCIO DE ROUPAS E ARTIGOS DE COURO LTDA;24/04/1998;***;COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESS;COMÉRCIO VAREJISTA DE ARTIGOS DE VIAGEM;COMÉRCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTE;AV. CANDIDO DE ABREU;127;***;***;TR;CENTRO CÍVICO;80530000
1 OFICIO DE DISTRIBUIDOR DO FORO CENTRAL DA COMARC;29/12/1980;1039212;CARTORIO JOSE BORGES DA CRUZ FILHO;25/10/2011;***;CARTÓRIOS;***;***;R. MAUÁ;920;***;***;***;ALTO DA GLÓRIA;80030200
1 OPCAO CALCADOS E SEMI JOIAS LTDA - ME;03/08/2012;1083217;1 OPCAO CALCADOS E SEMI JOIAS;26/09/2012;***;COMÉRCIO VAREJISTA DE CALÇADOS;COMÉRCIO VAREJISTA DE ARTIGOS ESPORTIVOS;COMÉRCIO VAREJISTA DE ARTIGOS DE VIAGEM;R. SEBASTIÃO MARCOS LUIZ;1335;***;***;***;CAJURU;82930060
1 SERVICO DE REGISTRO DE IMOVEIS DO FORO CENTRAL D;06/12/1988;859328;RENATO POSPISSIL;20/01/2009;***;CARTÓRIOS;***;***;AL. DOUTOR CARLOS DE CARVALHO;417;1201;9;CJ 1202;CENTRO;80410180
1.000 ADMINISTRADORA DE NEGOCIOS - EIRELI;15/04/2016;1373348;JK - INTERMEDIACOES COMPRA E VENDA DE CONSORCIOS;05/06/2018;***;CORRESPONDENTES DE INSTITUIÇÕES FINANCEIRAS;SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINIST;ATIVIDADES DE INTERMEDIAÇÃO E AGENCIAMENTO DE SERV;R. PROFESSOR BRANDÃO;531;***;***;***;ALTO DA RUA XV;80045280
1.7 REPRESENTACOES COMERCIAIS LTDA. - ME;10/04/2017;1314217;1.7 REPRESENTACOES;04/05/2017;***;REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE;***;***;R. ALVARO ANDRADE;225;3027;2;***;PORTÃO;80610240
1/4 DE ANJO DECORACOES E ARTIGOS INFANTIS LTDA;01/09/2001;739616;1/4 DE ANJO DECORACOES E ARTIGOS INFANTIS LTDA;15/12/2006;31/12/2008;COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESS;COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFI;COMÉRCIO VAREJISTA DE MÓVEIS;AL. DOUTOR CARLOS DE CARVALHO;1310;***;***;TR;BATEL;80730200
1ª IGREJA BATISTA RENOVADA - MINISTERIO MISSAO DE ;07/07/2014;1354012;1A.IGREJA BATISTA RENOVADA;19/01/2018;***;ATIVIDADES DE ORGANIZAÇÕES RELIGIOSAS E FILOSÓFICA;***;***;R. MARTINS FONTES;202;1;***;***;FAZENDINHA;81330350
10 ADMINISTRADORA DE BENS LTDA;05/04/2013;1435598;10 ADMINISTRADORA DE BENS LTDA;03/06/2019;***;COMPRA E VENDA DE IMÓVEIS PRÓPRIOS;ALUGUEL DE IMÓVEIS PRÓPRIOS;GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA;AV. IGUAÇÚ;2820;705;7;***;ÁGUA VERDE;80240031
